Survived,Pclass,Sex_encoded,Age,Fare,IsAlone,FamilySize
0,3,0,22.0,7.25,No,2
1,1,1,38.0,71.2833,No,2
1,3,1,26.0,7.925,Yes,1
1,1,1,35.0,53.1,No,2
0,3,0,35.0,8.05,Yes,1
0,3,0,28.0,8.4583,Yes,1
0,1,0,54.0,51.8625,Yes,1
0,3,0,2.0,21.075,No,5
1,3,1,27.0,11.1333,No,3
1,2,1,14.0,30.0708,No,2
1,3,1,4.0,16.7,No,3
1,1,1,58.0,26.55,Yes,1
0,3,0,20.0,8.05,Yes,1
0,3,0,39.0,31.275,No,7
0,3,1,14.0,7.8542,Yes,1
1,2,1,55.0,16.0,Yes,1
0,3,0,2.0,29.125,No,6
1,2,0,28.0,13.0,Yes,1
0,3,1,31.0,18.0,No,2
1,3,1,28.0,7.225,Yes,1
0,2,0,35.0,26.0,Yes,1
1,2,0,34.0,13.0,Yes,1
1,3,1,15.0,8.0292,Yes,1
1,1,0,28.0,35.5,Yes,1
0,3,1,8.0,21.075,No,5
1,3,1,38.0,31.3875,No,7
0,3,0,28.0,7.225,Yes,1
0,1,0,19.0,263.0,No,6
1,3,1,28.0,7.8792,Yes,1
0,3,0,28.0,7.8958,Yes,1
0,1,0,40.0,27.7208,Yes,1
1,1,1,28.0,146.5208,No,2
1,3,1,28.0,7.75,Yes,1
0,2,0,66.0,10.5,Yes,1
0,1,0,28.0,82.1708,No,2
0,1,0,42.0,52.0,No,2
1,3,0,28.0,7.2292,Yes,1
0,3,0,21.0,8.05,Yes,1
0,3,1,18.0,18.0,No,3
1,3,1,14.0,11.2417,No,2
0,3,1,40.0,9.475,No,2
0,2,1,27.0,21.0,No,2
0,3,0,28.0,7.8958,Yes,1
1,2,1,3.0,41.5792,No,4
1,3,1,19.0,7.8792,Yes,1
0,3,0,28.0,8.05,Yes,1
0,3,0,28.0,15.5,No,2
1,3,1,28.0,7.75,Yes,1
0,3,0,28.0,21.6792,No,3
0,3,1,18.0,17.8,No,2
0,3,0,7.0,39.6875,No,6
0,3,0,21.0,7.8,Yes,1
1,1,1,49.0,76.7292,No,2
1,2,1,29.0,26.0,No,2
0,1,0,65.0,61.9792,No,2
1,1,0,28.0,35.5,Yes,1
1,2,1,21.0,10.5,Yes,1
0,3,0,28.5,7.2292,Yes,1
1,2,1,5.0,27.75,No,4
0,3,0,11.0,46.9,No,8
0,3,0,22.0,7.2292,Yes,1
1,1,1,38.0,80.0,Yes,1
0,1,0,45.0,83.475,No,2
0,3,0,4.0,27.9,No,6
0,1,0,28.0,27.7208,Yes,1
1,3,0,28.0,15.2458,No,3
1,2,1,29.0,10.5,Yes,1
0,3,0,19.0,8.1583,Yes,1
1,3,1,17.0,7.925,No,7
0,3,0,26.0,8.6625,No,3
0,2,0,32.0,10.5,Yes,1
0,3,1,16.0,46.9,No,8
0,2,0,21.0,73.5,Yes,1
0,3,0,26.0,14.4542,No,2
1,3,0,32.0,56.4958,Yes,1
0,3,0,25.0,7.65,Yes,1
0,3,0,28.0,7.8958,Yes,1
0,3,0,28.0,8.05,Yes,1
1,2,0,0.83,29.0,No,3
1,3,1,30.0,12.475,Yes,1
0,3,0,22.0,9.0,Yes,1
1,3,0,29.0,9.5,Yes,1
1,3,1,28.0,7.7875,Yes,1
0,1,0,28.0,47.1,Yes,1
1,2,1,17.0,10.5,Yes,1
1,3,1,33.0,15.85,No,4
0,3,0,16.0,34.375,No,5
0,3,0,28.0,8.05,Yes,1
1,1,1,23.0,263.0,No,6
0,3,0,24.0,8.05,Yes,1
0,3,0,29.0,8.05,Yes,1
0,3,0,20.0,7.8542,Yes,1
0,1,0,46.0,61.175,No,2
0,3,0,26.0,20.575,No,4
0,3,0,59.0,7.25,Yes,1
0,3,0,28.0,8.05,Yes,1
0,1,0,71.0,34.6542,Yes,1
1,1,0,23.0,63.3583,No,2
1,2,1,34.0,23.0,No,2
0,2,0,34.0,26.0,No,2
0,3,1,28.0,7.8958,Yes,1
0,3,0,28.0,7.8958,Yes,1
0,1,0,21.0,77.2875,No,2
0,3,0,33.0,8.6542,Yes,1
0,3,0,37.0,7.925,No,3
0,3,0,28.0,7.8958,Yes,1
1,3,1,21.0,7.65,Yes,1
1,3,0,28.0,7.775,Yes,1
0,3,0,38.0,7.8958,Yes,1
1,3,1,28.0,24.15,No,2
0,1,0,47.0,52.0,Yes,1
0,3,1,14.5,14.4542,No,2
0,3,0,22.0,8.05,Yes,1
0,3,1,20.0,9.825,No,2
0,3,1,17.0,14.4583,Yes,1
0,3,0,21.0,7.925,Yes,1
0,3,0,70.5,7.75,Yes,1
0,2,0,29.0,21.0,No,2
0,1,0,24.0,247.5208,No,2
0,3,1,2.0,31.275,No,7
0,2,0,21.0,73.5,No,3
0,3,0,28.0,8.05,Yes,1
0,2,0,32.5,30.0708,No,2
1,2,1,32.5,13.0,Yes,1
0,1,0,54.0,77.2875,No,2
1,3,0,12.0,11.2417,No,2
0,3,0,28.0,7.75,Yes,1
1,3,0,24.0,7.1417,Yes,1
1,3,1,28.0,22.3583,No,3
0,3,0,45.0,6.975,Yes,1
0,3,0,33.0,7.8958,Yes,1
0,3,0,20.0,7.05,Yes,1
0,3,1,47.0,14.5,No,2
1,2,1,29.0,26.0,No,2
0,2,0,25.0,13.0,Yes,1
0,2,0,23.0,15.0458,Yes,1
1,1,1,19.0,26.2833,No,3
0,1,0,37.0,53.1,No,2
0,3,0,16.0,9.2167,Yes,1
0,1,0,24.0,79.2,Yes,1
0,3,1,28.0,15.2458,No,3
1,3,1,22.0,7.75,Yes,1
1,3,1,24.0,15.85,No,2
0,3,0,19.0,6.75,Yes,1
0,2,0,18.0,11.5,Yes,1
0,2,0,19.0,36.75,No,3
1,3,0,27.0,7.7958,Yes,1
0,3,1,9.0,34.375,No,5
0,2,0,36.5,26.0,No,3
0,2,0,42.0,13.0,Yes,1
0,2,0,51.0,12.525,Yes,1
1,1,1,22.0,66.6,No,2
0,3,0,55.5,8.05,Yes,1
0,3,0,40.5,14.5,No,3
0,3,0,28.0,7.3125,Yes,1
0,1,0,51.0,61.3792,No,2
1,3,1,16.0,7.7333,Yes,1
0,3,0,30.0,8.05,Yes,1
0,3,0,28.0,8.6625,Yes,1
0,3,0,28.0,69.55,No,11
0,3,0,44.0,16.1,No,2
1,2,1,40.0,15.75,Yes,1
0,3,0,26.0,7.775,Yes,1
0,3,0,17.0,8.6625,Yes,1
0,3,0,1.0,39.6875,No,6
1,3,0,9.0,20.525,No,3
1,1,1,28.0,55.0,No,2
0,3,1,45.0,27.9,No,6
0,1,0,28.0,25.925,Yes,1
0,3,0,28.0,56.4958,Yes,1
0,1,0,61.0,33.5,Yes,1
0,3,0,4.0,29.125,No,6
1,3,1,1.0,11.1333,No,3
0,3,0,21.0,7.925,Yes,1
0,1,0,56.0,30.6958,Yes,1
0,3,0,18.0,7.8542,No,3
0,3,0,28.0,25.4667,No,5
0,1,1,50.0,28.7125,Yes,1
0,2,0,30.0,13.0,Yes,1
0,3,0,36.0,0.0,Yes,1
0,3,1,28.0,69.55,No,11
